created_at,text
Mon May 13 21:38:53 +0000 2019,   doente preso   cadeira  rodas  preso   cadeira  rodas  ofende-lo    homens 
Mon May 13 21:27:33 +0000 2019, kanitz   sido bloqueado   muitas paginas  levam         comigo     bloqueei 
Mon May 13 21:16:16 +0000 2019,contemplando  devastacao feita  pezao   comentario  ocorre   ouvi  leilah    
Mon May 13 15:23:52 +0000 2019, pensava   ardil criminoso  sido iniciativa  jornalistas    foia atribui  autoria    
Mon May 13 15:21:44 +0000 2019, preciso   cinico  fingir   expressao homem doente preso  cadeira  rodas    senti 
Mon May 13 15:14:30 +0000 2019,  reconhecer      foia tenta deforma-   dando  expressao homem doente preso   
Mon May 13 09:46:00 +0000 2019,  alguem  pais   percebeu   historia   ofensas  general villas-   ficc 
Mon May 13 09:12:45 +0000 2019,caraio testemunhos  gente  viu  pezao real constam  livros  teddy roosevelt  opezao definitivamente    ze-mane
Sun May 12 22:02:45 +0000 2019,  assistir  mensagem  lobostao  vendo pezao ii
Sun May 12 16:51:13 +0000 2019,  olavismo    bucetismo cultural
Sun May 12 13:53:27 +0000 2019,    semanas  lobostao encontrou  alex catarrinho  viu  luz
Sun May 12 13:49:13 +0000 2019,the huts of uelf is not oiu it is pipo alex catarrinho
Sun May 12 13:38:07 +0000 2019," renan mains  santos:

bonito relato  fabio magalhaes:  testemunha  conversao   amigo muculmano "
Sun May 12 13:16:02 +0000 2019,  deseja entender  politica brasileira   inspirador    filme  pezao
Sun May 12 13:13:28 +0000 2019, pezao realmente acabou  podendo
Sun May 12 13:11:39 +0000 2019,curiosamente ninguem parou  perguntar      papel  ze dirceu  palhacada 
Sun May 12 13:04:42 +0000 2019, midia   principal forca demoniaca organizada  ativa empenhada  destruicao  brasil    dita 
Sun May 12 12:58:17 +0000 2019,  ridicula operacao  defesa nacional   horripilantes perigos  olavismo   objetivo colo 
Sun May 12 06:33:28 +0000 2019,     incomodar  briguinhas  homem doente preso  cadeira  rodas  ofende-lo  exigir   respeitem
Sun May 12 06:16:16 +0000 2019,tipos   lobao   interessam   veracidade  falsidade  detalhes  impoancia 
Sun May 12 06:10:29 +0000 2019, desinteresse  midia  averiguar    resposta insultuosa aconteceu    inventada chega   subl 
Sun May 12 03:29:57 +0000 2019,cu   gente
Sun May 12 01:31:42 +0000 2019,confesso  : jamais ouvi  unica musica  lobao  simpatizava       
Sat May 11 23:29:43 +0000 2019,  mastim vaca   fingir    escritor deveria contratar  ghost-writer  lobao
Sat May 11 23:28:10 +0000 2019," amigo

recebi  mensagem  lopao    semanas   comparem-      verao "
Sat May 11 22:34:09 +0000 2019,continuo desafiando  classe jornalistica inteira  provar  respondi  insultos  mensagem  general villas-
Sat May 11 20:08:50 +0000 2019,  roxane adoro filmes ruins  assistindo  pior    tempos: bigfoot  pezao   en 
Sat May 11 19:05:29 +0000 2019, veio    vou revelar chama   cu  desocupado  razao ocupado   :  hospede   acaba 
Sat May 11 19:03:16 +0000 2019, alexandre fruta era  ator porno    porno
Sat May 11 18:56:34 +0000 2019, sabado aula normal  cof
Sat May 11 18:54:10 +0000 2019,hegemonia guerra cultural psicopatico imbecil ad hominem etc etc etc  quase impossivel  leitor atento  
Wed May 08 15:49:46 +0000 2019,"obrigadao bernardo kuster:

"
Wed May 08 15:31:52 +0000 2019,eis    santos cruz inventando  monstruosa conspiracao internacional   total 
Wed May 08 15:12:07 +0000 2019, comecei  briga  imaginava    iniciativa   bandidinho empenhado  mover ceus  terras par 
Wed May 08 15:08:21 +0000 2019,condeno  santos cruz   cumplices  tentarem envolver  general doente   briguinhas      
Wed May 08 14:57:54 +0000 2019, aparece  marco vil condenando  ataque  olavo  carvalho  general villa-  ataque  filho d 
Wed May 08 14:44:17 +0000 2019,atencao rede grobo: ala militar versus ala ideologica   cu   mae     militares   ide 
Wed May 08 14:33:57 +0000 2019, eduardo bolsonaro  ceo:  estudante  depreda  patrimonio  universidade   expulso acrescento: 
Wed May 08 14:06:15 +0000 2019,  gosto  brigar     resfriado       doenca grave
Wed May 08 14:04:11 +0000 2019, espeinhos quiseram  forcar  puxar briga   villas-  anjo  guarda  avisou   cair  
Wed May 08 13:26:58 +0000 2019, bandidinho  escapar  lei inventa   conspiracao internacional monstruosa mobiliza  comando suprem 
Wed May 08 03:36:28 +0000 2019,nenhum presidente   bolsonaro respeitou  integralmente  liberdades democraticas
Wed May 08 02:16:00 +0000 2019, caa capetal entra   manobra criminosa  anta:  acusa  humilhar  villas-     resp 
Wed May 08 02:08:04 +0000 2019,tendo  vista    saude  general villas-  santos cruz   cumplices   obrigacao moral  
Wed May 08 01:52:11 +0000 2019,"aviso  fofoqueiros: ninguem  jogar  presidente  mim   mim  :

"
Wed May 08 01:41:25 +0000 2019,   evidencia  operacao socorro  vilas-   pronta  antecedencia   acusar  ofend 
Wed May 08 01:37:54 +0000 2019,"    solidarizando   general vilas-       respondi 
 farsa monstruosa  "
Wed May 08 01:28:36 +0000 2019,caluniadores porcos bandidos reclamei   generais desrespeitassem  vilas- usando  escudo  porrete 
Wed May 08 01:07:37 +0000 2019, censura  videos conservadores    acao   brasil  sonhos  santos cruz
Tue May 07 18:54:12 +0000 2019,"  aidemim denunciar   extremismo:

"
Tue May 07 18:37:21 +0000 2019,  atrai eleitores   carla zambelli  ninguem  conhecia  convoquei    contribuir p 
Tue May 07 18:28:12 +0000 2019,  conversar  oficiais semi-analfabetos     sequer distinguir   acao individual    
Tue May 07 18:08:32 +0000 2019, comparacao  trotsky  pueril  
Tue May 07 18:06:58 +0000 2019, cidadao privado   direito   opinioes      entenda
Tue May 07 17:28:48 +0000 2019," :

"
Tue May 07 17:22:17 +0000 2019,  neumane metido  explicar  lula mostrou  conseguir perceber     fundador  foro   
Tue May 07 16:20:22 +0000 2019, discussao     anteriores      xingam  acabar descobrindo     disse  
Tue May 07 16:14:01 +0000 2019, neumane acha   problema  brasil  
Tue May 07 16:06:16 +0000 2019, santos cruz   ultima esperanca   petistas   continuar mamando dinheiro  governo
Tue May 07 16:00:15 +0000 2019," midia brasileira  pergunta   significa :   politica internacional  representa
 "
Tue May 07 15:56:04 +0000 2019,fudeu     santos cruz querendo   dinheiro  ongs  esquerda puta merda/ 
Tue May 07 15:50:47 +0000 2019,    disputa     forcas armadas  acham    louco  suficiente   mete 
Tue May 07 15:46:03 +0000 2019, ronald robson passou  estudando   obras escreveu  mim  livro   paginas     pr 
Tue May 07 15:42:14 +0000 2019,nenhum    coragem  debater comigo  sozinho  assessorado  dezenas  colegas
Tue May 07 15:35:11 +0000 2019,   descreva  situacao   briga  olavo   forcas armadas   alucinado    per 
Tue May 07 15:30:19 +0000 2019,  militares   pingo  razao   vergonha  cara  buscado debater comigo  homem  ho 
Tue May 07 15:24:13 +0000 2019,   pessoal  grobo    jornalismo  macumba     funcionar  avessas  tentativa d 
Tue May 07 11:32:13 +0000 2019, propus tirar ninguem  ministerio nenhum     tirar  ideias  jerico   cabecas
Tue May 07 11:27:38 +0000 2019," leandro ruschel:

seguir

leandro ruschel
 h  
olavo   generais
 criticas  olavo   militares  "
Tue May 07 11:19:26 +0000 2019,raramente vi  homem   intencionado    presidente
Tue May 07 11:13:34 +0000 2019,    santos cruz   desculpas  - insultado  resposta   elogio   fiz
Tue May 07 11:07:08 +0000 2019,despetizacao  extrema   pensa    inimigo  patria
Tue May 07 10:58:32 +0000 2019,  midia esquerdista  busca destruir  bolsonaro    meios   mobilizada  defender  sa 
Tue May 07 10:55:31 +0000 2019, entender  ceas incelencas parar   dinheiro publico  petistas  extremismo ideologico/
Tue May 07 10:53:45 +0000 2019,    patriota  globalista   
Tue May 07 10:45:09 +0000 2019,puta  pariu  reagi   insultos  recebi  santos cruz au  sabia     
